Category,Product Name,Location,Price,Overall Rating,Number Sold,Total Review,Customer Rating,Customer Review,Sentiment,Emotion,Cleaned_Review,Slang_Replaced,Stopwords_Removed,Stemming
Computers and Laptops,"kipas laptop cooling pad Ace cooling ergostand 15,6inch 1 fan",Jakarta Utara,80000,4.8,3982,1890,5,Produknya baik dan kualitasny good banget. produk sampai ke konsumen dalam kondisi baik. sesuai sih sama harga juga so overall very good lah ??,Positive,Happy,produknya baik dan kualitasny good banget produk sampai ke konsumen dalam kondisi baik sesuai sih sama harga juga so overall very good lah,produknya baik dan kualitasny good banget produk sampai ke konsumen dalam kondisi baik sesuai sih sama harga juga sok overall very good lah,produknya baik kualitasny good banget produk konsumen kondisi baik sesuai sih harga sok overall very good,produk baik kualitasny good banget produk konsumen kondisi baik sesuai sih harga sok overall very good
Computers and Laptops,"kipas laptop cooling pad Ace cooling ergostand 15,6inch 1 fan",Jakarta Utara,80000,4.8,3982,1890,5,barang udah sampai ya gan dan berfungsi. terima kasih,Positive,Happy,barang udah sampai ya gan dan berfungsi terima kasih,barang sudah sampai ya gan dan berfungsi terima kasih,barang ya gan berfungsi terima kasih,barang ya gan fungsi terima kasih
Computers and Laptops,CoolCold Laptop Vacuum Vacum Cooler Cooling Pad Hisap Panas Notebook,Kota Depok,55000,4.8,13900,6671,5,barang mantap sesuai deskripsi laptop jadi adem n sejuk,Positive,Happy,barang mantap sesuai deskripsi laptop jadi adem  sejuk,barang mantap sesuai deskripsi laptop jadi adem sejuk,barang mantap sesuai deskripsi laptop jadi adem sejuk,barang mantap sesuai deskripsi laptop jadi adem sejuk
Computers and Laptops,CoolCold Laptop Vacuum Vacum Cooler Cooling Pad Hisap Panas Notebook,Kota Depok,55000,4.8,13900,6671,5,"produk saya terima dengan kondisi baik, terima kasih ^^",Positive,Happy,produk saya terima dengan kondisi baik terima kasih,produk saya terima dengan kondisi baik terima kasih,produk terima kondisi baik terima kasih,produk terima kondisi baik terima kasih
Computers and Laptops,CoolCold Laptop Vacuum Vacum Cooler Cooling Pad Hisap Panas Notebook,Kota Depok,55000,4.8,13900,6671,5,"belanja kedua kalinya, selalu puas. pengiriman lumayan cepat. overall bagus banget",Positive,Happy,belanja kedua kalinya selalu puas pengiriman lumayan cepat overall bagus banget,belanja kedua kalinya selalu puas pengiriman lumayan cepat overall bagus banget,belanja kedua kalinya puas pengiriman lumayan cepat overall bagus banget,belanja dua kali puas kirim lumayan cepat overall bagus banget
Computers and Laptops,CoolCold Laptop Vacuum Vacum Cooler Cooling Pad Hisap Panas Notebook,Kota Depok,55000,4.8,13900,6671,5,"Kualitas barang bagus, harga relatif murah, kiriman super cepat, response penjual baik, recommended seller, bintang 5, terima kasih yah, semoga SUKSES usaha-nya, aamiin ??????.",Positive,Happy,kualitas barang bagus harga relatif murah kiriman super cepat response penjual baik recommended seller bintang terima kasih yah semoga sukses usaha nya aamiin,kualitas barang bagus harga relatif murah kiriman super cepat response penjual baik recommended seller bintang terima kasih ya semoga sukses usaha nya amin,kualitas barang bagus harga relatif murah kiriman super cepat response penjual baik recommended seller bintang terima kasih ya semoga sukses usaha nya amin,kualitas barang bagus harga relatif murah kirim super cepat response jual baik recommended seller bintang terima kasih ya moga sukses usaha nya amin
Computers and Laptops,Cooling Pad Gaming Ergostand Kipas Pendingin Laptop Big Fan Cooler Pad - KIPAS ERGOSTAND,Jakarta Barat,74900,4.7,3713,2153,5,mantab barang nya oke punya,Positive,Happy,mantab barang nya oke punya,mantab barang nya oke punya,mantab barang nya oke punya,mantab barang nya oke punya
Computers and Laptops,Cooler Master Notepal CMC3 Silent Fan Laptop Cooling Pad,Jakarta Barat,112000,4.9,5988,2969,5,"pengiriman cepat, packing rapi, kualitas mantap",Positive,Happy,pengiriman cepat packing rapi kualitas mantap,pengiriman cepat packing rapi kualitas mantap,pengiriman cepat packing rapi kualitas mantap,kirim cepat packing rapi kualitas mantap
Computers and Laptops,Cooler Master Notepal CMC3 Silent Fan Laptop Cooling Pad,Jakarta Barat,112000,4.9,5988,2969,5,silent dan bagus untuk pekerjaan ringan,Positive,Happy,silent dan bagus untuk pekerjaan ringan,silent dan bagus untuk pekerjaan ringan,silent bagus untuk pekerjaan ringan,silent bagus untuk kerja ringan
Computers and Laptops,Cooler Master Notepal CMC3 Silent Fan Laptop Cooling Pad,Jakarta Barat,112000,4.9,5988,2969,5,Barang cepat sampai. Kualitas bagus dan pengiriman aman tidak ada yang pecah. Manstapu ??????,Positive,Happy,barang cepat sampai kualitas bagus dan pengiriman aman tidak ada yang pecah manstapu,barang cepat sampai kualitas bagus dan pengiriman aman tidak ada yang pecah manstapu,barang cepat kualitas bagus pengiriman aman pecah manstapu,barang cepat kualitas bagus kirim aman pecah manstapu
Computers and Laptops,Cooler Master Notepal CMC3 Silent Fan Laptop Cooling Pad,Jakarta Barat,112000,4.9,5988,2969,5,"Bagus, berkualitas, sesuai gbr. Makasih Seller, Tokped dan Kurir",Positive,Happy,bagus berkualitas sesuai gbr makasih seller tokped dan kurir,bagus berkualitas sesuai gbr terima kasih seller tokped dan kurir,bagus berkualitas sesuai gbr terima kasih seller tokped kurir,bagus kualitas sesuai gbr terima kasih seller tokped kurir
Computers and Laptops,"cooling pad laptop tahan 24 jam 6.000 Rpm angin TOPAN - Gambar no 1, Bening",Kota Surabaya,385000,5.0,2716,1843,5,"mantap kipasnya kenceng, barangnya berkualitas sesuai sama harga",Positive,Happy,mantap kipasnya kenceng barangnya berkualitas sesuai sama harga,mantap kipasnya kencang barangnya berkualitas sesuai sama harga,mantap kipasnya kencang barangnya berkualitas sesuai harga,mantap kipas kencang barang kualitas sesuai harga
Computers and Laptops,"cooling pad laptop tahan 24 jam 6.000 Rpm angin TOPAN - Gambar no 1, Bening",Kota Surabaya,385000,5.0,2716,1843,5,mantap proses pengerjaan dan pengiriman juga barang sesuai dengan deskripsi,Positive,Happy,mantap proses pengerjaan dan pengiriman juga barang sesuai dengan deskripsi,mantap proses pengerjaan dan pengiriman juga barang sesuai dengan deskripsi,mantap proses pengerjaan pengiriman barang sesuai deskripsi,mantap proses kerja kirim barang sesuai deskripsi
Computers and Laptops,"cooling pad laptop tahan 24 jam 6.000 Rpm angin TOPAN - Gambar no 1, Bening",Kota Surabaya,385000,5.0,2716,1843,5,"mantap kipasnya kenceng, barangnya berkualitas sesuai sama harga",Positive,Happy,mantap kipasnya kenceng barangnya berkualitas sesuai sama harga,mantap kipasnya kencang barangnya berkualitas sesuai sama harga,mantap kipasnya kencang barangnya berkualitas sesuai harga,mantap kipas kencang barang kualitas sesuai harga
Computers and Laptops,"cooling pad laptop tahan 24 jam 6.000 Rpm angin TOPAN - Gambar no 1, Bening",Kota Surabaya,385000,5.0,2716,1843,5,Penjualnya Ramah Melayani Pembeli Dengan Sabar dan Memberikan Berbagai Saran Yang Pembeli Tidak Tahu ... Mantap Lah ??????,Positive,Happy,penjualnya ramah melayani pembeli dengan sabar dan memberikan berbagai saran yang pembeli tidak tahu mantap lah,penjualnya ramah melayani pembeli dengan sabar dan memberikan berbagai saran yang pembeli tidak tahu mantap lah,penjualnya ramah melayani pembeli sabar memberikan berbagai saran pembeli tahu mantap,jual ramah layan beli sabar beri bagai saran beli tahu mantap
Computers and Laptops,"cooling pad laptop tahan 24 jam 6.000 Rpm angin TOPAN - Gambar no 1, Bening",Kota Surabaya,385000,5.0,2716,1843,5,"barang sampai dengan cepat, packingnya rapi dan amat sekali, tidak ada bagian acrylic yang pecah. berfungsi dengan baik. semoga awet.",Positive,Happy,barang sampai dengan cepat packingnya rapi dan amat sekali tidak ada bagian acrylic yang pecah berfungsi dengan baik semoga awet,barang sampai dengan cepat packingnya rapi dan amat sekali tidak ada bagian acrylic yang pecah berfungsi dengan baik semoga awet,barang cepat packingnya rapi bagian acrylic pecah berfungsi baik semoga awet,barang cepat packingnya rapi bagi acrylic pecah fungsi baik moga awet
Computers and Laptops,MacBook Skin Keyboard Protector TRANSPARANT BENING - A2141 A2289,Jakarta Utara,15000,4.9,690,338,5,Sangat presisi dan pas,Positive,Happy,sangat presisi dan pas,sangat presisi dan pas,presisi pas,presisi pas
Computers and Laptops,MacBook Skin Keyboard Protector TRANSPARANT BENING - A2141 A2289,Jakarta Utara,15000,4.9,690,338,5,"Puas banget, seller helpfull, sangat responsif dan cepet banget sampai nya, recomended...",Positive,Happy,puas banget seller helpfull sangat responsif dan cepet banget sampai nya recomended,puas banget seller helpfull sangat responsif dan cepat banget sampai nya recomended,puas banget seller helpfull responsif cepat banget nya recomended,puas banget seller helpfull responsif cepat banget nya recomended
Computers and Laptops,MacBook Skin Keyboard Protector TRANSPARANT BENING - A2141 A2289,Jakarta Utara,15000,4.9,690,338,5,"Mantappp, responnya juga memuaskan. sudah dicoba dan dipasang presisi dan nyaman. CAs Juga responsif",Positive,Happy,mantap responnya juga memuaskan sudah dicoba dan dipasang presisi dan nyaman cas juga responsif,mantap responnya juga memuaskan sudah dicoba dan dipasang presisi dan nyaman cas juga responsif,mantap responnya memuaskan dicoba dipasang presisi nyaman cas responsif,mantap responnya muas coba pasang presisi nyaman cas responsif
Computers and Laptops,"Logitech Bluetooth Keyboard K380 , K 380 , K-380 - Hitam",Jakarta Barat,365000,5.0,2554,1396,5,Mantap barangnya cepet sampai dan enak digunainnya!,Positive,Happy,mantap barangnya cepet sampai dan enak digunainnya,mantap barangnya cepat sampai dan enak digunainnya,mantap barangnya cepat enak digunainnya,mantap barang cepat enak digunainnya
Computers and Laptops,"Logitech Bluetooth Keyboard K380 , K 380 , K-380 - Hitam",Jakarta Barat,365000,5.0,2554,1396,5,"Barang bagus,oke, cepat pengirimannya juga",Positive,Happy,barang bagus oke cepat pengirimannya juga,barang bagus oke cepat pengirimannya juga,barang bagus oke cepat pengirimannya,barang bagus oke cepat kirim
Computers and Laptops,"Logitech Bluetooth Keyboard K380 , K 380 , K-380 - Hitam",Jakarta Barat,365000,5.0,2554,1396,5,"Pengiriman cepat, seller responsif ??",Positive,Happy,pengiriman cepat seller responsif,pengiriman cepat seller responsif,pengiriman cepat seller responsif,kirim cepat seller responsif
Computers and Laptops,Wireless Keyboard i8 Mini TouchPad Mouse 2.4G Handheld PC Android TV,Jakarta Utara,53500,4.9,5449,2369,5,Barang berfungsi baik. Pemilik toko sangat responsif dan membantu saat ada sedikit kendala. Sukses tokonya ya gan ??????,Positive,Happy,barang berfungsi baik pemilik toko sangat responsif dan membantu saat ada sedikit kendala sukses tokonya ya gan,barang berfungsi baik pemilik toko sangat responsif dan membantu saat ada sedikit kendala sukses tokonya ya gan,barang berfungsi baik pemilik toko responsif membantu kendala sukses tokonya ya gan,barang fungsi baik milik toko responsif bantu kendala sukses toko ya gan
Computers and Laptops,Wireless Keyboard i8 Mini TouchPad Mouse 2.4G Handheld PC Android TV,Jakarta Utara,53500,4.9,5449,2369,5,"seller luar biasa.. packing baik, pengiriman cepat, penting nya barang sesuai deskripsi dan berfungsi. terima kasih..",Positive,Happy,seller luar biasa packing baik pengiriman cepat penting nya barang sesuai deskripsi dan berfungsi terima kasih,seller luar biasa packing baik pengiriman cepat penting nya barang sesuai deskripsi dan berfungsi terima kasih,seller luar packing baik pengiriman cepat penting nya barang sesuai deskripsi berfungsi terima kasih,seller luar packing baik kirim cepat penting nya barang sesuai deskripsi fungsi terima kasih
Computers and Laptops,Logitech M191 Mouse Wireless Full Size - Mid Grey,Jakarta Timur,119000,4.9,9777,5546,1,Sangat kecewa. Baru 4 bulan scroll sudah rusak.,Negative,Sadness,sangat kecewa baru bulan scroll sudah rusak,sangat kecewa baru bulan scroll sudah rusak,kecewa baru bulan scroll rusak,kecewa baru bulan scroll rusak
Computers and Laptops,Adaptor Charger OriginaL Laptop Asus X441 X441U X441UV X441UA X441S,Jakarta Barat,113777,4.9,1630,777,1,"jelek, yg pasti jauh dari ori. mousepad jd ga bs dipakai kl di charger, jd getar parah. barang ga sesui foto, kayak barang lapak sebelah yg harga 80rban. padahal sebelumnya pernah beli disini dan bagus,persis spt foto yg ada indikator di ujung charger. makanya order disini lg walaupun sedikit mahal ternyata barangnya tdk sama dgn order sebelumnya",Negative,Sadness,jelek yg pasti jauh dari ori mousepad jd ga bs dipakai kl di charger jd getar parah barang ga sesui foto kayak barang lapak sebelah yg harga rban padahal sebelumnya pernah beli disini dan bagus persis spt foto yg ada indikator di ujung charger makanya order disini lg walaupun sedikit mahal ternyata barangnya tdk sama dgn order sebelumnya,jelek yang pasti jauh dari orisinal mousepad jadi enggak bisa dipakai kalau di charger jadi getar parah barang enggak sesui foto kayak barang lapak sebelah yang harga rban padahal sebelumnya pernah beli disini dan bagus persis seperti foto yang ada indikator di ujung charger makanya order disini lagi walaupun sedikit mahal ternyata barangnya tidak sama dengan order sebelumnya,jelek jauh orisinal mousepad jadi dipakai charger jadi getar parah barang sesui foto kayak barang lapak sebelah harga rban beli bagus persis foto indikator ujung charger order mahal ternyata barangnya order,jelek jauh orisinal mousepad jadi pakai charger jadi getar parah barang sesui foto kayak barang lapak belah harga rban beli bagus persis foto indikator ujung charger order mahal nyata barang order
Computers and Laptops,Kabel Power Adaptor Charger Laptop 3 Lubang,Jakarta Pusat,25000,4.9,2122,828,1,gak bisa di pakai??,Negative,Sadness,gak bisa di pakai,enggak bisa di pakai,pakai,pakai
Computers and Laptops,Cooler Master Notepal CMC3 Silent Fan Laptop Cooling Pad,Jakarta Barat,112000,4.9,5988,2969,1,Kecewa parah nggk berkah jualan gitu,Negative,Sadness,kecewa parah nggk berkah jualan gitu,kecewa parah enggak berkah jualan begitu,kecewa parah berkah jualan,kecewa parah berkah jual
Computers and Laptops,"CASE MACBOOK Clear Bening AIR PRO RETINA TOUCHBAR 11 12 13 15 INCH - AIR 13 A1466, LOGO HOLE",Kota Bandung,90000,4.9,5182,2423,1,kecewa penjual ga tanggung jawab komplen berhari� gada solusi,Negative,Sadness,kecewa penjual ga tanggung jawab komplen berhari gada solusi,kecewa penjual enggak tanggung jawab komplen berhari enggak ada solusi,kecewa penjual tanggung jawab komplen berhari solusi,kecewa jual tanggung jawab komplen hari solusi
Computers and Laptops,"CASE MACBOOK Clear Bening AIR PRO RETINA TOUCHBAR 11 12 13 15 INCH - AIR 13 A1466, LOGO HOLE",Kota Bandung,90000,4.9,5182,2423,1,"pas beli nanya dulu tipe untuk macbook pro 13inch M1 yang mana di variasi nya, kata penjualnya yang �new pro 13�. pas dateng casing kekecilan karena salah tipe ternyata. dan penjual pake banyak alesan gamau tanggung jawab padahal yang salah ya yg ngejual. kecewa gamau lagi beli disini ga tanggung jawab.",Negative,Sadness,pas beli nanya dulu tipe untuk macbook pro inch  yang mana di variasi nya kata penjualnya yang new pro pas dateng casing kekecilan karena salah tipe ternyata dan penjual pake banyak alesan gamau tanggung jawab padahal yang salah ya yg ngejual kecewa gamau lagi beli disini ga tanggung jawab,pas beli tanya dulu tipe untuk macbook pro inch yang mana di variasi nya kata penjualnya yang new pro pas datang casing kekecilan karena salah tipe ternyata dan penjual pakai banyak alesan enggak mau tanggung jawab padahal yang salah ya yang ngejual kecewa enggak mau lagi beli disini enggak tanggung jawab,pas beli tanya tipe untuk macbook pro inch variasi nya kata penjualnya new pro pas datang casing kekecilan salah tipe ternyata penjual pakai alesan tanggung jawab salah ya ngejual kecewa beli tanggung jawab,pas beli tanya tipe untuk macbook pro inch variasi nya kata jual new pro pas datang casing kecil salah tipe nyata jual pakai alesan tanggung jawab salah ya ngejual kecewa beli tanggung jawab
Computers and Laptops,CASE MACBOOK Case MATTE BLACK AIR PRO RETINA TOUCHBAR 11 12 13 15 INCH - NEW AIR A2337M1,Kota Bandung,99000,4.9,1848,952,1,Barang sampai terlalu lama padahal masih dalam kota. Casing mudah lepas. Jujur mengecewakan.,Negative,Sadness,barang sampai terlalu lama padahal masih dalam kota casing mudah lepas jujur mengecewakan,barang sampai terlalu lama padahal masih dalam kota casing mudah lepas jujur mengecewakan,barang kota casing mudah lepas jujur mengecewakan,barang kota casing mudah lepas jujur kecewa
Computers and Laptops,Screen Guard (Protector) Anti Gores MacBook - A2141,Jakarta Utara,50000,4.8,2967,1191,1,"kecewa belanja di tempat kamu, lain di pesan lain dikirim ??????",Negative,Sadness,kecewa belanja di tempat kamu lain di pesan lain dikirim,kecewa belanja di tempat kamu lain di pesan lain dikirim,kecewa belanja tempat pesan dikirim,kecewa belanja tempat pesan kirim
Computers and Laptops,Screen Guard (Protector) Anti Gores MacBook - A2141,Jakarta Utara,50000,4.8,2967,1191,1,"Tidak ada tissue pembersih, atau alat bantuan lainnya untuk memasang. sangat kecewa",Negative,Sadness,tidak ada tissue pembersih atau alat bantuan lainnya untuk memasang sangat kecewa,tidak ada tissue pembersih atau alat bantuan lainnya untuk memasang sangat kecewa,tissue pembersih alat bantuan untuk memasang kecewa,tissue bersih alat bantu untuk pasang kecewa
Computers and Laptops,SanDisk Extreme Pro SDXC UHS-I Card 64GB 170MB/s,Jakarta Pusat,279000,5.0,3111,1456,1,"salah beli barang, tp toko tidak ada kompromi sama sekali. Padahal barang masih disegel, kecewa dehhh..",Negative,Sadness,salah beli barang tp toko tidak ada kompromi sama sekali padahal barang masih disegel kecewa deh,salah beli barang tapi toko tidak ada kompromi sama sekali padahal barang masih disegel kecewa deh,salah beli barang toko kompromi barang disegel kecewa deh,salah beli barang toko kompromi barang segel kecewa deh
Computers and Laptops,SanDisk Extreme SDHC UHS-I Card 32GB,Jakarta Pusat,119000,5.0,2215,1010,1,Data sering error dan hilang ??,Negative,Sadness,data sering error dan hilang,data sering error dan hilang,data error hilang,data error hilang
Computers and Laptops,Logitech MK275 Wireless Keyboard Mouse Combo,Jakarta Timur,200000,4.9,3225,1528,1,"kecewa sama toko official ini ga tau kenapa pesenan pertama ga dikonfirmasi sampe di batalin sistem karena ga direspon sama sekali. pesanan kedua karena disuruh pesan lagi sama tokonya dan cuma dikonfirmasi doang ga dikirim sampe udah tinggal 10 menit sebelum dibatalin sistem lagi tapi untungnya gara chat cs tokopedia akhirnya barang bakalan dikirim didetik terakhir. ga cuma sampe situ aja payahnya barang baru diambil kurir tanggal 5 dan pickup barang sama kurir lebih dari 2 hari, proses kirim pun lemot muter padahal udah lewat depan rumah baru tanggal 9 jam 9 malem paketnya sampe??",Negative,Sadness,kecewa sama toko official ini ga tau kenapa pesenan pertama ga dikonfirmasi sampe di batalin sistem karena ga direspon sama sekali pesanan kedua karena disuruh pesan lagi sama tokonya dan cuma dikonfirmasi doang ga dikirim sampe udah tinggal menit sebelum dibatalin sistem lagi tapi untungnya gara chat cs tokopedia akhirnya barang bakalan dikirim didetik terakhir ga cuma sampe situ aja payahnya barang baru diambil kurir tanggal dan pickup barang sama kurir lebih dari hari proses kirim pun lemot muter padahal udah lewat depan rumah baru tanggal jam malem paketnya sampe,kecewa sama toko official ini enggak tau kenapa pesenan pertama enggak dikonfirmasi sampai di batalin sistem karena enggak direspon sama sekali pesanan kedua karena disuruh pesan lagi sama tokonya dan cuma dikonfirmasi doang enggak dikirim sampai sudah tinggal menit sebelum dibatalin sistem lagi tapi untungnya gara chat cs tokopedia akhirnya barang bakalan dikirim didetik terakhir enggak cuma sampai situ saja payahnya barang baru diambil kurir tanggal dan pickup barang sama kurir lebih dari hari proses kirim pun lemot muter padahal sudah lewat depan rumah baru tanggal jam malam paketnya sampai,kecewa toko official tau pesenan pertama dikonfirmasi batalin sistem direspon pesanan kedua disuruh pesan tokonya dikonfirmasi doang dikirim tinggal menit dibatalin sistem untungnya gara chat cs tokopedia barang bakalan dikirim didetik terakhir situ payahnya barang baru diambil kurir tanggal pickup barang kurir hari proses kirim lemot muter lewat rumah baru tanggal jam malam paketnya,kecewa toko official tau sen pertama konfirmasi batalin sistem direspon pesan dua suruh pesan toko konfirmasi doang kirim tinggal menit dibatalin sistem untung gara chat cs tokopedia barang bakal kirim detik akhir situ payah barang baru ambil kurir tanggal pickup barang kurir hari proses kirim lot muter lewat rumah baru tanggal jam malam paket
